,VaR_0.01,VaR_0.025,VaR_0.01875,VaR_0.0125,VaR_0.00625,ES_0.01,ES_0.025,ES_0.01875,ES_0.0125,ES_0.00625
2022-02-04,-0.0320934339080452,-0.026989017174013172,-0.02866522401969819,-0.030909988239806403,-0.034480767597940276,0.03744841499328995,0.032886957951576916,0.034373558718921754,0.03638203806812406,0.039613990990567775
2022-02-07,-0.0300203655962399,-0.025233705462828864,-0.026805566245687276,-0.028910590964703893,-0.032259084649561245,0.03519241249070433,0.030914912100451553,0.0323089700306956,0.03419241892026381,0.03722317855706614
2022-02-08,-0.029245946156827535,-0.02458855819081419,-0.026117968111362737,-0.02816614293916741,-0.031424204668528785,0.03420564627448994,0.030043667298141768,0.03140007624452279,0.033232659287477456,0.03618156793503236
2022-02-09,-0.029044964625902562,-0.02440500084504371,-0.025928688948593716,-0.027969201159994322,-0.031215073853090858,0.034169243180612555,0.030022834968998224,0.03137416932833616,0.03319989632526579,0.03613777253776189
2022-02-10,-0.02919287776993779,-0.0245051260175126,-0.0260445069081634,-0.02810603478782018,-0.031385337412547974,0.034672386576653884,0.030483273627011965,0.03184852566566607,0.03369305621235122,0.036661190235368894
2022-02-11,-0.029699149094032554,-0.024964290832475335,-0.026519140729125777,-0.02860138459098847,-0.031913640432353334,0.03480788764517909,0.030576678932399688,0.031955650182527204,0.033818716138003316,0.03681667649139099
2022-02-14,-0.03085343205566343,-0.025970195151111142,-0.027573770163695704,-0.02972126635235274,-0.03313732002669277,0.03567509425013333,0.031311290014457614,0.03273347478260834,0.03465492457620866,0.03774683352624184
2022-02-15,-0.030574213778850175,-0.025741726461690803,-0.027328636141048055,-0.029453814234631594,-0.032834366187905584,0.035262907353314665,0.030944454442744133,0.03235185899613345,0.03425333990718161,0.0373131158465627
2022-02-16,-0.03068218525861919,-0.025806663600496653,-0.027407705052528552,-0.029551808315012584,-0.03296246481194141,0.03574122962516592,0.03138431996079761,0.03280425775503137,0.03472267176336266,0.03780969566686746
2022-02-17,-0.03039092748854569,-0.02556027347827206,-0.0271465811296774,-0.029270952991733216,-0.032650222460694926,0.03542121693088564,0.031104402317311472,0.032511272941837775,0.03441203248564407,0.03747064763391898
2022-02-18,-0.03129139261111954,-0.026354492463897948,-0.02797568960637724,-0.030146785225362113,-0.03360037885954447,0.035968234094137824,0.03155647480523868,0.03299428835565527,0.034936853493148644,0.038062740286882654
2022-02-22,-0.03104392847343019,-0.026157769203467462,-0.027762303872984798,-0.029911085227343072,-0.033329183233607444,0.03552441172382492,0.031157995976398796,0.032581031848777094,0.03450363153097067,0.03759739082903005
2022-02-23,-0.030853084996873777,-0.026013335330116762,-0.027602629846125413,-0.029731001695897,-0.03311663400396685,0.035082977355160604,0.03075803459522282,0.03216755422170415,0.034071892712756756,0.037136266938921414
2022-02-24,-0.03132458335048958,-0.026439941058747224,-0.028043977577464924,-0.030192091811834926,-0.033609128620552486,0.03522308975085933,0.030858029619823084,0.03228062369030629,0.03420262647385551,0.03729542526997156
2022-02-25,-0.031464300308575735,-0.026533787662021573,-0.028152887253908222,-0.030321173848140367,-0.03377029912546204,0.035708303994433546,0.031302252764146485,0.03273820603083461,0.034678257822758456,0.03780010025598571
2022-02-28,-0.032004028217502506,-0.02695376037915334,-0.02861218561444892,-0.030833136829091324,-0.03436603649027941,0.036800103816664334,0.032287035822002805,0.0337578663664079,0.035745039277592316,0.03894270685642713
2022-03-01,-0.03160804565537865,-0.026624016986786545,-0.028260690363724045,-0.030452511645214838,-0.03393907389462941,0.0362936533341107,0.03183977861128983,0.03329131778398293,0.03525242699161463,0.03840815405316188
2022-03-02,-0.03173607449522804,-0.026755785081474633,-0.028391230548371678,-0.03058140742151787,-0.034065353886468024,0.03611468141720753,0.03166414820257525,0.033114598361694,0.035074236252128015,0.03822759573746952
2022-03-03,-0.03191816127504118,-0.02688104860648535,-0.028535153899501,-0.030750319878336797,-0.03427401688010298,0.036706746593524034,0.03220543444581143,0.03367243370320993,0.03565443033505786,0.038843768482407316
2022-03-04,-0.031404720785368614,-0.02645647386366361,-0.028081397101024374,-0.030257482679626798,-0.033719013915736645,0.03600949276452904,0.03158759366395993,0.033028711827720776,0.03497574167948367,0.03810881288680748
2022-03-07,-0.03097429215313516,-0.026105688856636906,-0.02770445843203338,-0.029845519213574888,-0.033251335991458957,0.03535486795409283,0.03100414074131351,0.032422063644868215,0.03433775542514159,0.037420398844012166
2022-03-08,-0.032901878010329344,-0.02777370661626933,-0.029457714103208885,-0.03171292488629777,-0.035300321745334706,0.03696360100673581,0.032380916101604866,0.03387443513163585,0.03589226143399648,0.039139255045102475
2022-03-09,-0.03243258105040691,-0.027388408995161647,-0.02904483247513415,-0.03126310295336372,-0.03479173832783439,0.03628850290018142,0.03178088227673054,0.03324993749668388,0.03523471184695148,0.03842851977148223
2022-03-10,-0.03335029633887575,-0.028124344833123004,-0.029840461707115237,-0.03213867315171019,-0.03579447179348962,0.037847325037874836,0.0331772609467839,0.03469925727336952,0.03675555796865896,0.04006446280962893
2022-03-11,-0.034853586722703465,-0.02939679287102149,-0.031188714590245258,-0.03358844334144509,-0.03740572705130911,0.03948899800188878,0.03461264639564571,0.036201872814615066,0.03834900506008517,0.04180407186890066
