,VaR_0.01,VaR_0.025,VaR_0.01875,VaR_0.0125,VaR_0.00625,ES_0.01,ES_0.025,ES_0.01875,ES_0.0125,ES_0.00625
2022-02-01,-0.02692292401900532,-0.02261924567196409,-0.02403250314736591,-0.025925127451310915,-0.02893575268165404,0.031709778780219286,0.027863885130804754,0.029117280350372397,0.030810686186148187,0.03353563725024176
2022-02-02,-0.0294900228570795,-0.024759832116604354,-0.02631314927578491,-0.02839334050658953,-0.0317023311976342,0.03495342423756619,0.030726386559013923,0.032103998449045316,0.03396522783431297,0.03696023286308907
2022-02-03,-0.023086408967893688,-0.019357632841016898,-0.02058210184415032,-0.02222190197618127,-0.024830356089299233,0.027713907603700808,0.024381763500435503,0.02546772527438602,0.02693491932198386,0.029295860743566892
2022-02-04,-0.033048418196980095,-0.02778310066530114,-0.029512144697396468,-0.03182766809967266,-0.03551100512636725,0.038685520328124605,0.03398027759752953,0.035513738811760204,0.0375855292004373,0.04091935934613189
2022-02-07,-0.032364520454545936,-0.027231949445420962,-0.02891740169388265,-0.031174547291269564,-0.034765021887779024,0.03756089829354311,0.03297428176288772,0.03446908212856828,0.036488639585821395,0.03973841889204355
2022-02-08,-0.02666988884785278,-0.022422890242669552,-0.023817535019252992,-0.0256852333300518,-0.0286562084176271,0.031190617195222235,0.027395374231496593,0.02863226214922557,0.03030336571287673,0.03299242898275476
2022-02-09,-0.021893658561556784,-0.01839917015949027,-0.019546702911402536,-0.02108347056601873,-0.02352802940662906,0.025714755309467277,0.02259197761333671,0.023609705869212516,0.02498471268336688,0.027197310633727264
2022-02-10,-0.02814596327151681,-0.0236384478346917,-0.025118642071549974,-0.02710090760772964,-0.030254126460527143,0.033263787099809504,0.029235738627032302,0.030548498978773764,0.0323221103711811,0.035176124541277984
2022-02-11,-0.02839225070741885,-0.02385021409053155,-0.02534174451746921,-0.027339191398330794,-0.030516559438705928,0.03348781132004149,0.029428913704631975,0.030751727940185068,0.03253892268224384,0.03541479455609057
2022-02-14,-0.023121322830781745,-0.019419948804720578,-0.020635419406789476,-0.02226316894446816,-0.024852454000461623,0.0273056714096257,0.023998014630228326,0.025075995867670578,0.02653240777178746,0.02887599906221414
2022-02-15,-0.03193115724945773,-0.02687327899404037,-0.02853420336564337,-0.030758501405755746,-0.03429672491129077,0.03697665802638177,0.03245678913901596,0.03392983612703115,0.035920003575361875,0.039122489826136336
2022-02-16,-0.02945805634837418,-0.024766890577162286,-0.026307392575661396,-0.02837042183493087,-0.031652112726222134,0.03445372010547328,0.03026155628815214,0.03162780261924209,0.03347367650966036,0.03644397217984948
2022-02-17,-0.02879372930949682,-0.024206996655286427,-0.02571320452876493,-0.027730307341066164,-0.03093894235978176,0.033695265184877456,0.029596425874891013,0.030932257300623503,0.0327370389821177,0.03564121095291477
2022-02-18,-0.026551076398210128,-0.022329059434672477,-0.02371550064933598,-0.025572212808680567,-0.028525712064056356,0.03096908330577365,0.027196164672355527,0.028425776983570593,0.03008705080291036,0.032760296498728365
2022-02-21,-0.0263825945964043,-0.022200247182323142,-0.023573661566727886,-0.02541292828815318,-0.02833867682964205,0.030597112797740647,0.026859644041387513,0.028077703067333162,0.02972336776323591,0.032371495972967165
2022-02-22,-0.026605146444370485,-0.02240845540916374,-0.02378658000379923,-0.025632154605079793,-0.028567937183541905,0.03056997640760007,0.02681968976920554,0.028041926204497417,0.029693234810042466,0.03235044494051625
2022-02-23,-0.02647655167130165,-0.022299125698834223,-0.023670923962425677,-0.025508026386415736,-0.02843033214824098,0.030436106701003638,0.026703035889738855,0.02791966160424842,0.029563389817617605,0.03220840192840261
2022-02-24,-0.026411617219384675,-0.022248730354540995,-0.023615754213337756,-0.025446462788571596,-0.028358597761432368,0.030302962414797605,0.026582884178063114,0.02779527555010494,0.02943328293405527,0.03206908934831848
2022-02-25,-0.028182288233553177,-0.023791113905143275,-0.02523310362765225,-0.027164205951440375,-0.03023603873212083,0.031642447393878295,0.027718364760074058,0.028997242145346366,0.03072507578764225,0.033505426500201274
2022-02-28,-0.04106466594976461,-0.034595176728010525,-0.03671965101892989,-0.03956473179584715,-0.044090443502865485,0.047074736722528265,0.04129341072496493,0.04317757264639797,0.04572317896712563,0.0498194519962382
2022-03-01,-0.027193683859148367,-0.022910175754297726,-0.02431680965255045,-0.026200563709346848,-0.029197078907493252,0.031164222424076897,0.02733635349679366,0.028583874372811305,0.030269343647561796,0.0329815235613769
2022-03-02,-0.0337175139637126,-0.02844186197240767,-0.030174299671766887,-0.03249436784897258,-0.03618493431578397,0.0381572197721347,0.0334427418642237,0.03497921286711595,0.037055069645710925,0.04039544323970341
2022-03-03,-0.02928187678996437,-0.02469149069095235,-0.0261988982958607,-0.02821760777991272,-0.031428798554939665,0.0332568917177012,0.02915478758190111,0.0304916830300535,0.03229790226432207,0.03520438747916225
2022-03-04,-0.032632179853597364,-0.02754328251333527,-0.029214393044312163,-0.03145233231621028,-0.03501225512915751,0.036698235030332156,0.0321506465757043,0.033632727503880584,0.03563510030192863,0.0388572268421111
2022-03-07,-0.04679767966130176,-0.03952928811097317,-0.04191610884066626,-0.04511252209218118,-0.050197103517853066,0.05222585491390659,0.04573060627988981,0.04784743901888644,0.05070739640313004,0.05530950875730569
2022-03-08,-0.047309604177960936,-0.03997539913815751,-0.04238383193977659,-0.045609187923452976,-0.05073980897753856,0.05261056403419449,0.04605650252876713,0.04819250266514779,0.05107835625681269,0.055722139601177334
2022-03-09,-0.039988368101317236,-0.03381333039777155,-0.03584111163319398,-0.03855670176170396,-0.04287643079568157,0.044139468890709896,0.03862127343697929,0.0404196798498552,0.042849425764883646,0.046759261538893815
2022-03-10,-0.06883181741588128,-0.0580492431668269,-0.0615900639328648,-0.06633190578005627,-0.07387482313227173,0.07806844333200261,0.0684328175986602,0.07157311432359767,0.07581582780858376,0.08264300790995653
2022-03-11,-0.060997059058669936,-0.051471404954241094,-0.05459947373299435,-0.05878856107066912,-0.06545220371999287,0.06877910008602284,0.060266695191282346,0.06304092884792964,0.06678907100662776,0.0728204095953715
2022-03-14,-0.05360808411568166,-0.04523251438239512,-0.04798291429191768,-0.0516662301808717,-0.05752533477098739,0.06049948883609106,0.05301483318806366,0.055454118426951006,0.058749726862475815,0.06405286892298782
2022-03-15,-0.048453509896334714,-0.040872955916977705,-0.0433622856751783,-0.04669597828456249,-0.05199893199761599,0.054822881293701754,0.04804867512462395,0.050256421464666474,0.05323920812108143,0.0580389717109113
2022-03-16,-0.04173162270323688,-0.035213087807105255,-0.03735366789412759,-0.04022031743800303,-0.04478033889886757,0.04707597127367406,0.041250816617830637,0.04314926250959049,0.0457141672593626,0.04984149443606873
2022-03-17,-0.0516158834925084,-0.04349991355721779,-0.046165065145293935,-0.04973421709183248,-0.05541171942485202,0.05895493866721259,0.05170226903997789,0.054065948920013894,0.05725941036000527,0.062398182156583916
2022-03-18,-0.04487995554217561,-0.037818730646946803,-0.040137521240471596,-0.043242829020157185,-0.048182487635982464,0.05132116993577149,0.0450110515226892,0.04706754943314679,0.0498459911476691,0.05431693222189837
2022-03-21,-0.04029753780602475,-0.03394603388878499,-0.036031763738287856,-0.03882495823634654,-0.043268133678816954,0.046234449828148304,0.0405585589715889,0.04240835907396101,0.044907540688405106,0.0489291092077569
2022-03-22,-0.03491737100309528,-0.02941270333292685,-0.031220346029973818,-0.033641128202243645,-0.037491901897693435,0.04007743982782528,0.03515830676821991,0.03676147586840163,0.03892744544256326,0.04241282441741611
2022-03-23,-0.03173240920604384,-0.026718485252296753,-0.028364975751197747,-0.030569944052213496,-0.0340774194583508,0.036576578904110174,0.03209598887450899,0.033556234694046796,0.03552910706013536,0.038703762857179407
2022-03-24,-0.030270782504971727,-0.025500150421611,-0.02706674785537054,-0.029164723934915555,-0.03250200524561677,0.034723631703617884,0.030460454450674683,0.03184984440164797,0.033726986594641156,0.03674759778434358
2022-03-25,-0.02664804774591579,-0.022450685710102645,-0.02382903065034636,-0.025674900336889628,-0.028611152311805724,0.030536216723053122,0.026785330458765858,0.028007762315017337,0.029659334945020308,0.032316969931551844
2022-03-28,-0.023521692402154983,-0.01981537964895262,-0.021032472048118887,-0.022662393484871864,-0.02525513341256764,0.026972586355664192,0.02366051618432233,0.0247399357674053,0.026198290955542918,0.0285450092895573
2022-03-29,-0.021017908342848182,-0.017704231305401715,-0.018792388566842545,-0.0202496409892517,-0.022567713784121153,0.02412715716670318,0.021165957828168113,0.022131026920931957,0.023434888311257725,0.025533002306105883
2022-03-30,-0.027840300006768865,-0.023430731437486137,-0.024878761527402156,-0.026817953068023242,-0.029902653484525688,0.03223503614685095,0.02829451587796944,0.029578750367494997,0.031313821752095704,0.03410581910787426
2022-03-31,-0.025429110829725526,-0.02140455229098534,-0.022726151393292114,-0.02449602745949621,-0.027311395268304253,0.029400903328341093,0.025804439355498164,0.026976544244980694,0.02856012237660602,0.03110834373245771
2022-04-01,-0.028041277480717507,-0.023617014664769,-0.025069870104599955,-0.02701552371931794,-0.030110503451834636,0.03223425100330859,0.028280599523082314,0.029569113537479597,0.03130996679541042,0.03411126807677522
2022-04-04,-0.023758406475952495,-0.02000215480548291,-0.021235646327085897,-0.022887529351325455,-0.02551520389824157,0.02741623300079851,0.024059535943037797,0.025153499642833428,0.026631504732081986,0.029009842786431782
2022-04-05,-0.023439848467436207,-0.019723821452323622,-0.020944103855982693,-0.022578297323938654,-0.025177832834306444,0.027186776015496798,0.023866024893773277,0.024948273640296927,0.02641045118375075,0.02876332027676582
2022-04-06,-0.021481719831188385,-0.01807200009043284,-0.019191696202471707,-0.020691185228047155,-0.023076444406855242,0.024971817832892613,0.02192479190766968,0.022917832297425254,0.024259484447457565,0.02641840960091855
2022-04-07,-0.029254412572619584,-0.024639042762095057,-0.026154654608633726,-0.028184351154403275,-0.03141301920959891,0.03362473047371049,0.029500300157908856,0.03084447181539933,0.032660521608427875,0.03558282570790143
2022-04-08,-0.027942549903595914,-0.023536300500071796,-0.024983240630320244,-0.026920972504749528,-0.03000335100883874,0.03208756640695641,0.028150012242296227,0.02943328006420415,0.031167045427719565,0.03395694119422112
2022-04-11,-0.029442871588339983,-0.024785216233537608,-0.026314713960184675,-0.028363006377288523,-0.03162125515767222,0.03401236370987757,0.029850145787036944,0.031206632607227974,0.03303932086198038,0.035988398811538466
2022-04-12,-0.028780664191358975,-0.02423428156649661,-0.02572723915126616,-0.027726597271689694,-0.030907005548859005,0.03315860723174314,0.029095825895682634,0.030419905854456863,0.03220881065815916,0.03508743428483248
2022-04-13,-0.027913574561355133,-0.0235078980139764,-0.024954650027650023,-0.026892129977707645,-0.029974107742005086,0.03210873723840192,0.028171694994855234,0.029454795979212533,0.031188335936026646,0.033977868988394604
2022-04-14,-0.026880943586139926,-0.022637643201812923,-0.02403107354324362,-0.02589714549117108,-0.028865533499480844,0.030929178421032825,0.027137240296321207,0.028373051151136017,0.030042699543588278,0.03272942121866187
2022-04-19,-0.026595309108397646,-0.02238954849324229,-0.023770651389374207,-0.02562021451071904,-0.028562341686527902,0.030703376413168414,0.026944984931169293,0.028169862773935055,0.029824740066164965,0.032487692763703224
2022-04-20,-0.026736606078282914,-0.022517409010700734,-0.023902924217722037,-0.02575839627425467,-0.02870992287990482,0.030745135763549123,0.02697473707216027,0.028203528122159868,0.029863692372456088,0.03253515260061947
2022-04-21,-0.026767012772379126,-0.02253377375322276,-0.023923900107135444,-0.02578554737860773,-0.028746896989204702,0.030906034624138788,0.027123087631499294,0.028355968233170097,0.030021657692560478,0.03270200883398422
2022-04-22,-0.025701303708631936,-0.02163249274899762,-0.022968623621476357,-0.024757960530368713,-0.02760428498697996,0.029731599149101447,0.026095589910380333,0.027280582792024523,0.028881573309461825,0.031457813878572584
2022-04-25,-0.02711449351483195,-0.02284314953801473,-0.024245788935868325,-0.026124193586297452,-0.029112199405301308,0.031077690415028874,0.027260691710606636,0.028504669928763295,0.030185352878017813,0.03288983085619657
2022-04-26,-0.03344877806014917,-0.02819979977740022,-0.029923478267781998,-0.032231816174967835,-0.03590372312926694,0.03806255685724526,0.03337191536043879,0.03490061796241996,0.036965979204386004,0.04028946386183357
2022-04-27,-0.03200278616060919,-0.026991240419328863,-0.028636949952210625,-0.03084087238911861,-0.034346684123885016,0.036273801520536775,0.03179533673159843,0.03325488992499259,0.035226826515090216,0.038399976504295164
2022-04-28,-0.030597997117711453,-0.025799677945575774,-0.027375367365777614,-0.029485519368543506,-0.03284216909883815,0.0347736220575628,0.030485702807122615,0.031883156293963565,0.033771192767134396,0.03680933453322639
