dates,index
2021-11-05,24
2021-11-08,25
2021-11-09,26
2021-11-10,27
2021-11-11,28
2021-11-12,29
2021-11-15,30
2021-11-16,31
2021-11-17,32
2021-11-18,33
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-25,38
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-25,38
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-25,38
2022-01-20,75
2022-01-20,75
2022-02-23,99
2022-03-09,109
2022-03-15,113
2022-03-16,114
2022-03-17,115
2022-04-06,129
2022-04-07,130
2022-04-13,134
2022-04-14,135
2022-04-19,136
2022-04-20,137
2022-04-21,138
2022-04-22,139
2022-04-07,130
2022-04-20,137
2022-04-21,138
2022-04-22,139
2022-05-03,145
2022-04-21,138
2022-07-22,201
2022-07-25,202
2022-08-22,222
2022-08-23,223
2022-08-24,224
2022-08-25,225
2022-08-26,226
2022-08-30,227
2022-08-24,224
2022-08-25,225
2022-08-26,226
2022-08-22,222
2022-08-25,225
2022-08-26,226
2022-09-06,232
2022-10-04,251
2022-10-05,252
2022-10-10,255
2022-10-11,256
2022-10-13,258
2022-10-17,260
2022-12-20,306
2022-12-21,307
2022-12-20,306
2023-01-17,323
2023-01-18,324
2023-03-08,359
2023-03-09,360
2023-03-08,359
2023-03-09,360
2023-03-31,376
2023-04-03,377
2023-04-04,378
2023-04-24,390
2023-04-25,391
2023-04-25,391
2023-05-17,405
2023-05-18,406
2023-05-22,408
2023-05-23,409
2023-05-18,406
2023-05-19,407
2023-05-22,408
2023-05-23,409
2023-05-23,409
2023-07-03,437
2023-06-30,436
2023-07-03,437
2023-07-04,438
2023-06-28,434
2023-11-20,536
