dates,index
2021-11-03,22
2022-01-14,74
2022-01-17,75
2022-01-18,76
2022-01-13,73
2022-01-14,74
2022-02-23,102
2022-02-23,102
2022-03-08,111
2022-03-14,115
2022-03-15,116
2022-03-16,117
2022-03-17,118
2022-03-14,115
2022-04-13,137
2022-04-14,138
2022-04-15,139
2022-04-18,140
2022-04-19,141
2022-04-20,142
2022-04-14,138
2022-04-15,139
2022-04-18,140
2022-04-19,141
2022-04-20,142
2022-04-14,138
2022-04-15,139
2022-04-18,140
2022-04-19,141
2022-04-20,142
2022-07-28,213
2022-08-09,221
2022-10-06,263
2022-10-11,266
2022-10-26,277
2022-10-27,278
2023-06-19,445
2023-06-20,446
2023-06-14,442
2023-06-15,443
2023-06-19,445
2023-06-28,452
2023-06-15,443
2023-06-29,453
2023-08-25,494
2023-09-06,502
2023-09-07,503
2023-09-08,504
2023-09-11,505
2023-09-12,506
2023-09-13,507
2023-09-13,507
2023-09-21,513
2023-09-22,514
2023-09-25,515
2023-09-26,516
2023-09-27,517
2023-09-28,518
2023-09-29,519
2023-09-27,517
2023-09-28,518
2023-09-29,519
2023-11-13,550
2023-11-14,551
2023-11-15,552
2023-11-17,554
2023-11-14,551
2023-11-15,552
2023-11-16,553
2023-11-17,554
2023-11-20,555
2023-11-14,551
2023-11-15,552
2023-11-16,553
2023-11-17,554
2023-11-20,555
2023-11-21,556
2023-11-22,557
2023-11-24,559
2023-11-28,561
2023-11-30,563
2023-12-18,575
