,VaR_0.01,VaR_0.025,VaR_0.01875,VaR_0.0125,VaR_0.00625,ES_0.01,ES_0.025,ES_0.01875,ES_0.0125,ES_0.00625
2022-02-01,-0.020810818806970464,-0.017431234034004796,-0.018541034316228847,-0.02002727091728773,-0.022391449270107472,0.02523216433425617,0.02221206790327114,0.023196331841460423,0.02452612652302013,0.026665971181629094
2022-02-02,-0.027937098769825097,-0.02341099461699225,-0.024897293083706397,-0.026887733360853764,-0.030053955893968372,0.03372590162931756,0.02968124173275817,0.03099941582732686,0.03278034148386566,0.03564612543259858
2022-02-03,-0.029598875681949903,-0.024808183342555173,-0.026381368235811546,-0.028488166194003555,-0.03183948059641681,0.03566883660685673,0.031387732918649186,0.03278296518101026,0.03466800065781694,0.037701313358091924
2022-02-04,-0.03003103304507219,-0.02520039926556822,-0.02678670027352018,-0.028911063238710743,-0.03229031855529845,0.035780835753225465,0.03146403921846256,0.03287090395101741,0.0347716555344464,0.03783025787324699
2022-02-07,-0.029494147632952782,-0.02476488934150707,-0.026317900299699774,-0.028397681468331295,-0.031706019867464796,0.034936595908497375,0.030710391493844375,0.032087731819167235,0.033948594305586804,0.03694300893755115
2022-02-08,-0.02868512894037252,-0.024071238025915005,-0.025586364227209422,-0.02761541040034102,-0.030843043898245565,0.03417386583590202,0.03005075710515709,0.03139449805172747,0.033209965930628506,0.03613133364055653
2022-02-09,-0.0278590257920648,-0.02337129293560556,-0.02484499089710812,-0.026818556667790462,-0.02995793667605357,0.03328120951292505,0.029270839336261786,0.03057783824635686,0.03234366561441645,0.03518515408926579
2022-02-10,-0.027815608089626888,-0.023309952046238626,-0.024789535688748896,-0.026770983521344462,-0.029922901641061404,0.033568810169497205,0.0295424233054263,0.030854642130906475,0.03262752189156928,0.0354803587533927
2022-02-11,-0.027307330629830286,-0.022887570485336378,-0.024338947321614887,-0.026282620801029898,-0.02937445070328697,0.032906854097550585,0.028957226337071998,0.030244429001869848,0.03198351055441217,0.034781960888661013
2022-02-14,-0.026081151280212538,-0.0218760754087509,-0.023256953446269827,-0.025106215438568242,-0.028047863603987755,0.031208205390484516,0.027450425815605497,0.028675104234900658,0.03032971209506026,0.03299223123485875
2022-02-15,-0.03834137505979824,-0.03224277082705301,-0.03424545256263621,-0.036927429620464164,-0.04119368985006591,0.04474514317743914,0.03929525092303019,0.04107139699505555,0.043471067966032687,0.047332508518375505
2022-02-16,-0.028457635521996896,-0.023886474948427033,-0.025387569205692115,-0.02739782389973109,-0.03059556551631835,0.033819207156526795,0.02973428351616393,0.031065579758302368,0.03286423415748004,0.03575854638637964
2022-02-17,-0.02309787072551595,-0.019374490913764378,-0.02059718785540171,-0.022234614855350252,-0.02483929399246936,0.027628927214937034,0.024301605417707813,0.02538599557895036,0.02685106629139445,0.02920859093935806
2022-02-18,-0.021466725771243825,-0.01800637545962695,-0.019142697821813628,-0.020664452602682022,-0.023085130244899808,0.025676595602139765,0.02258432470848752,0.023592110650852805,0.024953684852965095,0.02714466765962851
2022-02-21,-0.021445253929905157,-0.017995220430994347,-0.019128154920876585,-0.020645372687383725,-0.023058833234334396,0.025557512651867235,0.022474461165723852,0.02347924245888345,0.02483675721476527,0.02702120774659435
2022-02-22,-0.034761020466775344,-0.029245639090295986,-0.031056799993006163,-0.03348229372113921,-0.037340562157582455,0.04037975237788156,0.03545104523495946,0.03705733457489684,0.039227519764475506,0.042719682314460654
2022-02-23,-0.02815527434837772,-0.023680280649958918,-0.025149795280626976,-0.027117758764573428,-0.03024822713318385,0.03281140447607003,0.02881241838600802,0.030115707167580084,0.03187652194807411,0.034709944396734055
2022-02-24,-0.02814332707908056,-0.0236726572561653,-0.025140751996942587,-0.02710681397450187,-0.030234257589021932,0.03276444387937528,0.02876932173173622,0.0300713512359067,0.03183046466341372,0.03466114937281802
2022-02-25,-0.03203770426665979,-0.027011074597073487,-0.028661737444937888,-0.03087229332584628,-0.03438865697724509,0.036444384712234656,0.03195244048096762,0.03341638668938439,0.03539425848424407,0.03857695913294855
2022-02-28,-0.03957452633040471,-0.03331002625271676,-0.035367185466423895,-0.03812211837335194,-0.04250443054181131,0.045772133345804364,0.04017399168122094,0.04199845294834918,0.04446340040360403,0.04842988088290054
2022-03-01,-0.03141441233946633,-0.026453603058428636,-0.028082651568824217,-0.030264261683572397,-0.03373458088033122,0.036170949010479334,0.03173782381583829,0.0331826006175977,0.0351345734903974,0.038275598780640685
2022-03-02,-0.04587741805300098,-0.038697090744634205,-0.041054992619749396,-0.04421267794803092,-0.049235654298378444,0.051946341792356465,0.04552978995712214,0.04762097503126349,0.05044628101053772,0.05499263391187055
2022-03-03,-0.04145693798302111,-0.03495142719286594,-0.03708773037681899,-0.03994865232269094,-0.04449956280943206,0.04717321742312213,0.041359701491743,0.043254354267276765,0.04581413430853495,0.049933215039159956
2022-03-04,-0.0411154075296717,-0.03469096510880278,-0.03680064676817298,-0.039625917358711224,-0.044120116711795304,0.046410283922735995,0.04066921307239336,0.04254025564792428,0.045068137011220026,0.0491358878511475
2022-03-07,-0.06650054090049227,-0.05614984776270375,-0.0595488458459659,-0.06410075977064929,-0.0713415559917678,0.07451583290243499,0.06526614884251278,0.06828066532166253,0.07235344278095059,0.07890716961774218
2022-03-08,-0.05746473008151335,-0.048556566744355004,-0.05148186166956583,-0.055399395712742834,-0.061631074554937146,0.06389882251614817,0.05593822554684204,0.05853262234919561,0.06203779503282771,0.06767815827730615
2022-03-09,-0.04651110474378398,-0.039330817948253896,-0.04168870651961712,-0.04484637403160915,-0.04986932204132374,0.051312103160438174,0.0448955875286672,0.04698676080392589,0.04981205084226109,0.05435837809216543
2022-03-10,-0.09297955647134401,-0.07838456936895805,-0.08317732406913697,-0.08959574688754536,-0.09980562617306038,0.10586047573529983,0.09281796565809036,0.09706858236051158,0.10281139916494225,0.11205247677995984
2022-03-11,-0.08304866783364101,-0.0700536830001343,-0.0743210231630702,-0.08003581459078002,-0.08912641710631852,0.0939931606169582,0.08238045966318429,0.08616509470215489,0.0912783446661089,0.0995063521737538
2022-03-14,-0.07084297282753557,-0.059756100963459506,-0.06339684808190989,-0.0682725105856145,-0.0760282984182522,0.08020299542573031,0.07029544038662358,0.07352436017890908,0.07788680829913913,0.08490665988824624
2022-03-15,-0.06333393898151955,-0.053406126414483904,-0.05666625744504691,-0.06103220160588321,-0.06797717299692216,0.07192116996257644,0.06304938442814173,0.06594074196206173,0.06984712491678802,0.07613309734250706
2022-03-16,-0.05392774301487787,-0.045484587912083714,-0.04825718174991184,-0.0519702195889296,-0.057876603320801225,0.06110060341585157,0.05355555149226109,0.05601452016755392,0.05933672200758256,0.06468265695587708
2022-03-17,-0.06155754402693614,-0.05186498965411913,-0.05504786574720346,-0.05931035064826807,-0.06609074787784663,0.07049244067914945,0.06183088879187847,0.06465373017003129,0.06846754403225608,0.07460455851665652
2022-03-18,-0.05298198104237269,-0.04463516929127335,-0.047376125550498145,-0.051046794570511006,-0.056885781600770936,0.06073379724290344,0.05327484057424789,0.055705750392276335,0.05899004317385725,0.06427497660262611
2022-03-21,-0.04545569228951776,-0.03829175950009138,-0.04064427768372692,-0.04379475321088114,-0.04880626082486383,0.052144710957354845,0.04574280974681727,0.04782922011197482,0.05064807519696521,0.05518404761485355
2022-03-22,-0.03927876804047858,-0.033094370120511724,-0.035125225097687576,-0.03784493155917143,-0.04217120850436513,0.04497659121118392,0.03945003119254199,0.04125116365731359,0.04368459261829333,0.04760035498105857
2022-03-23,-0.03603519258638962,-0.03034694508923058,-0.03221487239444438,-0.03471638728283723,-0.03869558369354406,0.04146068374429672,0.03637749834763201,0.038034132892720236,0.040272337221733005,0.04387395305365675
2022-03-24,-0.034318765488340564,-0.028915965922116035,-0.03069015680241589,-0.033066140540933445,-0.03684565271096938,0.039288208756844106,0.03446010803340416,0.03603360925782619,0.03815949590111159,0.0415803752605529
