dates,index
2021-11-09,26
2021-11-10,27
2021-11-11,28
2021-11-12,29
2021-11-15,30
2021-11-16,31
2021-11-17,32
2021-11-22,35
2021-11-22,35
2021-11-23,36
2021-11-25,38
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-25,38
2021-12-07,46
2022-01-05,67
2021-12-31,64
2022-01-04,66
2022-01-05,67
2022-01-13,73
2021-12-31,64
2022-01-17,75
2022-01-18,76
2022-01-19,77
2022-01-20,78
2022-01-21,79
2022-01-24,80
2022-01-18,76
2022-01-19,77
2022-01-20,78
2022-01-21,79
2022-01-18,76
2022-01-19,77
2022-02-08,91
2022-02-09,92
2022-02-10,93
2022-01-31,85
2022-02-08,91
2022-02-16,97
2022-02-22,101
2022-02-23,102
2022-03-09,112
2022-03-10,113
2022-03-11,114
2022-03-14,115
2022-03-15,116
2022-03-16,117
2022-03-17,118
2022-03-11,114
2022-03-14,115
2022-03-15,116
2022-03-16,117
2022-03-10,113
2022-03-11,114
2022-03-15,116
2022-03-16,117
2022-03-17,118
2022-03-18,119
2022-03-21,120
2022-03-22,121
2022-03-23,122
2022-03-24,123
2022-07-07,196
2022-07-08,197
2022-08-11,221
2022-08-16,224
2022-08-19,227
2022-08-15,223
2022-08-16,224
2022-08-17,225
2022-08-18,226
2022-08-19,227
2022-08-15,223
2022-08-16,224
2022-08-19,227
2022-10-04,259
2022-10-04,259
2022-10-06,261
2022-10-07,262
2022-10-11,264
2022-10-25,274
2022-12-09,307
2022-12-12,308
2022-12-08,306
2022-12-09,307
2022-12-12,308
2022-12-14,310
2022-12-08,306
2022-12-09,307
2022-12-14,310
2023-01-06,326
2023-03-09,370
2023-03-27,382
2023-03-28,383
2023-03-30,385
2023-03-24,381
2023-03-27,382
2023-03-29,384
2023-03-24,381
2023-03-31,386
2023-04-04,388
2023-04-28,404
2023-04-24,400
2023-04-25,401
2023-04-26,402
2023-04-27,403
2023-04-28,404
2023-05-17,416
2023-05-18,417
2023-05-19,418
2023-05-22,419
2023-05-23,420
2023-06-15,437
2023-09-12,500
2023-09-13,501
2023-11-14,545
2023-11-16,547
