,VaR_0.01,VaR_0.025,VaR_0.01875,VaR_0.0125,VaR_0.00625,ES_0.01,ES_0.025,ES_0.01875,ES_0.0125,ES_0.00625
2022-02-03,-0.022192437326110592,-0.0186428393370898,-0.019808469174669024,-0.021369472316986507,-0.023852582903229134,0.026166781733572547,0.022994756488392453,0.02402853475713419,0.025425226020875664,0.02767271759373832
2022-02-04,-0.028366935309113123,-0.023874187791916683,-0.025349532485865762,-0.027325303548863634,-0.030468191547947526,0.03284161902182002,0.028826767596715777,0.03013522696720982,0.031903027497544104,0.034747691094698135
2022-02-07,-0.03203174721053848,-0.02699369507278628,-0.028648108872097615,-0.03086368800035828,-0.03438804220497226,0.036605959852980076,0.03210380816794037,0.03357108103458768,0.03555344732756998,0.038743380316675693
2022-02-08,-0.028226292812938224,-0.023774993219784685,-0.025236727094390406,-0.02719427064546337,-0.030308163874072667,0.03241758088526986,0.028439768545107356,0.029736156699848932,0.03148764835419501,0.034306068455525786
2022-02-09,-0.02538900070253963,-0.021380512237580945,-0.022696834190883874,-0.0244596431368823,-0.027263769173959583,0.029222077051824797,0.02563997376993462,0.02680739844123363,0.028384653340840085,0.030922699641513438
2022-02-10,-0.03095095930380409,-0.026039612009607974,-0.027652418013706555,-0.029812276280182407,-0.03324799449296423,0.03596053895961821,0.031571614452329234,0.033001986037699695,0.0349344966713606,0.03804420421831371
2022-02-11,-0.02583129450986777,-0.021725727368967596,-0.023073928369311936,-0.024879429507120653,-0.0277514666396725,0.030102369343091302,0.026433513698875154,0.02762921138189463,0.02924466467439021,0.03184417807831245
2022-02-14,-0.024847929604364445,-0.020904793083272775,-0.02219965452866725,-0.023933723715952582,-0.026692132997456514,0.02887280254488738,0.02534909968366708,0.026497491377260242,0.028049031677819167,0.030545699224175663
2022-02-15,-0.030285731219523066,-0.02552063696603028,-0.02708541586717022,-0.02918095658083655,-0.032514363919326716,0.0346332363811612,0.030375007895993667,0.03176278501977041,0.0336377481945704,0.0366548530080582
2022-02-16,-0.030729147864979562,-0.025861720446692604,-0.027460103882945237,-0.029600647549706854,-0.033005641745528495,0.03558399224443928,0.031234315831041474,0.03265189627402873,0.0345671253712518,0.03764902426176204
