dates,index
2021-11-08,25
2021-11-09,26
2021-11-10,27
2021-11-11,28
2021-11-12,29
2021-11-15,30
2021-11-16,31
2021-11-17,32
2021-11-18,33
2021-11-19,34
2021-11-22,35
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-19,34
2021-11-22,35
2021-11-23,36
2021-11-24,37
2021-11-25,38
2022-01-13,71
2022-01-14,72
2022-01-17,73
2022-01-18,74
2022-01-19,75
2022-01-20,76
2022-01-21,77
2022-01-18,74
2022-01-19,75
2022-01-20,76
2022-01-21,77
2022-01-17,73
2022-01-18,74
2022-01-19,75
2022-01-20,76
2022-01-24,78
2022-01-25,79
2022-02-02,85
2022-02-10,91
2022-02-11,92
2022-02-14,93
2022-02-23,100
2022-03-09,110
2022-03-10,111
2022-03-14,113
2022-03-15,114
2022-03-16,115
2022-03-17,116
2022-03-18,117
2022-03-14,113
2022-03-15,114
2022-03-16,115
2022-03-17,116
2022-03-18,117
2022-03-14,113
2022-03-15,114
2022-03-16,115
2022-03-17,116
2022-03-18,117
2022-03-21,118
2022-03-24,121
2022-08-16,222
2022-08-10,218
2022-08-16,222
2022-08-17,223
2022-09-14,243
2022-10-12,263
2022-10-19,268
2022-10-20,269
2022-11-04,280
2022-11-10,284
2022-11-14,286
2022-11-17,289
2022-11-18,290
2022-12-12,306
2022-12-14,308
2022-12-09,305
2022-12-12,306
2023-03-09,368
2023-03-30,383
2023-03-27,380
2023-03-28,381
2023-03-29,382
2023-04-17,393
2023-04-18,394
2023-04-19,395
2023-04-13,391
2023-04-21,397
2023-04-24,398
2023-04-25,399
2023-04-26,400
2023-04-27,401
2023-04-28,402
2023-05-17,414
2023-09-13,499
2023-09-15,501
2023-09-12,498
2023-09-13,499
2023-10-23,527
2023-11-02,535
2023-11-16,545
