dates,index
2022-02-01,83
2022-02-01,83
2022-02-02,84
2022-02-03,85
2022-02-11,91
2022-01-31,82
2022-02-01,83
2022-02-16,94
2022-02-17,95
2022-02-18,96
2022-02-21,97
2022-02-22,98
2022-02-23,99
2022-02-24,100
2022-02-25,101
2022-02-21,97
2022-02-22,98
2022-02-25,101
2022-04-22,139
2022-04-28,143
2022-10-10,255
2023-02-28,353
2023-03-08,359
2023-03-09,360
2023-03-09,360
2023-03-09,360
2023-03-27,372
2023-03-27,372
2023-03-28,373
2023-03-29,374
2023-04-11,381
2023-04-12,382
2023-04-13,383
2023-06-01,415
2023-05-31,414
2023-09-20,493
2023-09-20,493
2023-09-19,492
2023-09-20,493
