dates,index
2020-11-02,1152
2020-11-03,1153
2020-11-04,1154
2020-11-04,1154
2020-12-15,1195
2020-12-29,1209
2020-12-30,1210
2020-12-31,1211
2021-01-01,1212
2021-01-01,1212
2021-03-01,1271
2021-03-02,1272
2021-03-02,1272
2021-03-03,1273
2021-04-09,1310
2021-04-10,1311
2021-04-11,1312
2021-04-12,1313
2021-04-13,1314
2021-04-14,1315
2021-04-15,1316
2021-04-16,1317
2021-04-17,1318
2021-04-18,1319
2021-04-19,1320
2021-04-15,1316
2021-04-21,1322
2021-04-17,1318
2021-04-23,1324
2021-04-24,1325
2021-04-25,1326
2021-04-21,1322
2021-04-22,1323
2021-04-23,1324
2021-04-24,1325
2021-04-25,1326
2021-05-01,1332
2021-05-02,1333
2021-05-03,1334
2021-04-24,1325
2021-04-25,1326
2021-05-10,1341
2021-05-11,1342
2021-05-14,1345
2021-05-16,1347
2021-05-17,1348
2021-05-18,1349
2021-05-17,1348
2021-05-18,1349
2021-05-24,1355
2021-05-25,1356
2021-05-25,1356
2021-05-26,1357
2021-05-24,1355
2021-05-25,1356
2021-05-26,1357
2021-05-27,1358
2021-05-28,1359
2021-05-29,1360
2021-05-30,1361
2021-05-31,1362
2021-06-01,1363
2021-06-02,1364
2021-06-04,1366
2021-06-21,1383
2021-06-24,1386
2021-06-26,1388
2021-06-27,1389
2021-06-28,1390
2021-06-29,1391
2021-06-25,1387
2021-06-28,1390
2021-06-29,1391
2021-06-25,1387
2021-06-27,1389
2021-06-29,1391
2021-06-30,1392
2021-07-01,1393
2021-07-02,1394
2021-07-03,1395
2021-07-04,1396
2021-07-05,1397
2021-10-02,1486
2021-10-03,1487
2021-10-04,1488
2022-03-10,1645
2022-04-04,1670
2022-04-05,1671
2022-04-03,1669
2022-04-05,1671
2022-04-04,1670
2022-04-05,1671
2022-04-21,1687
2022-04-23,1689
2022-04-24,1690
2022-04-25,1691
2022-05-01,1697
2022-06-19,1746
2022-06-20,1747
2022-06-22,1749
2022-06-23,1750
2022-06-19,1746
2022-06-20,1747
2022-06-23,1750
2022-06-19,1746
2022-06-20,1747
2022-06-21,1748
2022-06-22,1749
2022-06-23,1750
2022-06-24,1751
2022-06-25,1752
2022-06-26,1753
2022-06-27,1754
2022-08-18,1806
2022-08-16,1804
2022-08-17,1805
2022-08-18,1806
2022-08-24,1812
2022-08-29,1817
2022-09-10,1829
2022-09-11,1830
2022-09-12,1831
2022-09-13,1832
2022-09-14,1833
2022-09-15,1834
2022-09-16,1835
2022-09-17,1836
2022-09-18,1837
2022-09-19,1838
2022-09-20,1839
2022-09-21,1840
2022-09-23,1842
2022-09-19,1838
2022-09-20,1839
2022-09-21,1840
2022-09-22,1841
2022-09-23,1842
2022-09-19,1838
2022-09-20,1839
2022-09-22,1841
2022-09-23,1842
2022-10-15,1864
2022-10-17,1866
2022-10-18,1867
2022-10-19,1868
2022-10-20,1869
2022-10-21,1870
2022-10-22,1871
2022-10-23,1872
2022-10-24,1873
2022-10-20,1869
2022-10-21,1870
2022-10-22,1871
2022-10-23,1872
2022-10-24,1873
2022-10-21,1870
2022-10-22,1871
2022-11-14,1894
2022-11-11,1891
2022-11-13,1893
2022-11-14,1894
2022-11-11,1891
2022-11-14,1894
2022-11-15,1895
2022-11-16,1896
2022-11-23,1903
2022-11-20,1900
2022-11-21,1901
2022-11-23,1903
2022-11-24,1904
2023-01-03,1944
2023-01-04,1945
2023-01-05,1946
2023-01-01,1942
2023-01-07,1948
2023-01-03,1944
2023-01-09,1950
2023-01-10,1951
2023-01-06,1947
2023-01-07,1948
2023-01-08,1949
2023-01-09,1950
2023-01-10,1951
2023-01-06,1947
2023-01-07,1948
2023-01-08,1949
2023-01-09,1950
2023-01-10,1951
2023-01-11,1952
2023-01-17,1958
2023-01-13,1954
2023-01-14,1955
2023-01-15,1956
2023-01-16,1957
2023-03-07,2007
2023-03-08,2008
2023-03-19,2019
2023-03-20,2020
2023-03-21,2021
2023-03-17,2017
2023-03-23,2023
2023-03-24,2024
2023-03-25,2025
2023-03-21,2021
2023-03-17,2017
2023-03-23,2023
2023-03-24,2024
2023-04-08,2039
2023-04-09,2040
2023-05-23,2084
2023-07-12,2134
2023-07-12,2134
2023-08-05,2158
2023-08-08,2161
2023-08-09,2162
2023-08-10,2163
2023-08-11,2164
2023-08-12,2165
2023-08-13,2166
2023-08-14,2167
2023-08-15,2168
2023-08-16,2169
2023-08-17,2170
2023-08-13,2166
2023-08-14,2167
2023-08-15,2168
2023-08-16,2169
2023-08-12,2165
2023-08-13,2166
2023-08-16,2169
2023-09-04,2188
2023-09-02,2186
2023-09-03,2187
2023-09-25,2209
2023-09-26,2210
2023-09-27,2211
2023-09-29,2213
2023-09-30,2214
2023-09-26,2210
2023-09-27,2211
2023-10-08,2222
2023-09-29,2213
2023-09-30,2214
2023-10-12,2226
2023-10-13,2227
2023-10-14,2228
2023-10-15,2229
2023-10-14,2228
2023-10-15,2229
2023-11-07,2252
2023-11-08,2253
2023-11-14,2259
